CustomerID,ProdTaken,Age,TypeofContact,CityTier
200000,1,41,Self Enquiry,3
200001,0,49,Company Invited,1
200002,1,37,Self Enquiry,1
200003,0,33,Company Invited,1
200004,0,36,Self Enquiry,1
200005,0,32,Company Invited,1
200006,0,59,Self Enquiry,1
200007,0,30,Self Enquiry,1
200008,0,38,Company Invited,1
200009,0,36,Self Enquiry,1
200010,0,35,Self Enquiry,1
200011,0,36,Self Enquiry,1
200012,0,31,Self Enquiry,1
200013,0,34,Self Enquiry,1
200014,1,28,Self Enquiry,1
200015,0,29,Self Enquiry,1
200016,0,32,Self Enquiry,1
200017,0,22,Company Invited,1
200018,0,53,Self Enquiry,3
200019,0,36,Self Enquiry,1
200020,0,36,Company Invited,1
200021,1,36,Self Enquiry,3
200022,0,34,Self Enquiry,1
200023,0,21,Self Enquiry,1
200024,1,34,Self Enquiry,1
200025,0,53,Self Enquiry,1
200026,1,36,Company Invited,1
200027,0,42,Self Enquiry,3
200028,0,44,Self Enquiry,1
200029,0,46,Self Enquiry,3
200030,0,33,Self Enquiry,1
200031,0,44,Self Enquiry,1
200032,0,30,Self Enquiry,1
200033,1,39,Self Enquiry,3
200034,1,24,Self Enquiry,1
200035,0,43,Self Enquiry,1
200036,1,50,Self Enquiry,3
200037,0,35,Self Enquiry,3
200038,0,36,Self Enquiry,1
200039,0,33,Company Invited,3
200040,0,35,Self Enquiry,1
200041,0,27,Self Enquiry,1
200042,1,26,Self Enquiry,1
200043,0,27,Company Invited,3
200044,0,36,Company Invited,1
200045,1,41,Self Enquiry,1
200046,0,34,Company Invited,3
200047,0,37,Self Enquiry,1
200048,0,46,Company Invited,3
200049,0,35,Self Enquiry,1
200050,1,48,Self Enquiry,1
200051,1,36,Self Enquiry,1
200052,0,44,Self Enquiry,3
200053,0,35,Company Invited,1
200054,0,36,Self Enquiry,3
200055,0,33,Company Invited,1
200056,0,35,Company Invited,3
200057,0,36,Self Enquiry,1
200058,0,31,Self Enquiry,1
200059,0,37,Self Enquiry,1
200060,0,32,Self Enquiry,1
200061,0,38,Company Invited,1
200062,0,50,Self Enquiry,1
200063,0,59,Self Enquiry,3
200064,0,36,Self Enquiry,1
200065,0,55,Self Enquiry,1
200066,0,36,Company Invited,1
200067,0,45,Self Enquiry,1
200068,0,35,Company Invited,1
200069,1,36,Self Enquiry,1
200070,0,59,Company Invited,3
200071,0,29,Self Enquiry,1
200072,0,31,Self Enquiry,1
200073,0,32,Self Enquiry,1
200074,0,36,Self Enquiry,1
200075,0,31,Self Enquiry,1
200076,0,35,Self Enquiry,3
200077,0,45,Self Enquiry,1
200078,0,37,Self Enquiry,1
200079,0,46,Self Enquiry,2
200080,0,30,Self Enquiry,1
200081,0,35,Self Enquiry,1
200082,0,55,Self Enquiry,3
200083,0,38,Company Invited,1
200084,0,34,Self Enquiry,1
200085,0,56,Self Enquiry,1
200086,0,23,Self Enquiry,3
200087,0,51,Self Enquiry,1
200088,0,36,Self Enquiry,1
200089,1,46,Self Enquiry,3
200090,0,40,Company Invited,1
200091,0,51,Self Enquiry,3
200092,0,30,Self Enquiry,3
200093,0,46,Company Invited,1
200094,0,32,Self Enquiry,3
200095,0,54,Self Enquiry,1
200096,0,24,Self Enquiry,3
200097,0,36,Company Invited,3
200098,0,58,Self Enquiry,3
200099,0,44,Company Invited,1
200100,1,37,Self Enquiry,2
200101,0,32,Self Enquiry,1
200102,1,20,Company Invited,1
200103,0,34,Self Enquiry,1
200104,0,37,Company Invited,1
200105,0,59,Company Invited,2
200106,0,50,Company Invited,1
200107,1,25,Self Enquiry,3
200108,0,25,Self Enquiry,1
200109,0,22,Self Enquiry,1
200110,0,51,Company Invited,1
200111,1,34,Company Invited,1
200112,0,54,Company Invited,2
200113,0,24,Self Enquiry,1
200114,0,34,Self Enquiry,1
200115,0,37,Self Enquiry,3
200116,0,34,Self Enquiry,1
200117,0,36,Company Invited,3
200118,0,36,Self Enquiry,1
